,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,1612306903,42.6001,-73.9662,26.01,87,100,12.84
1,Ushuaia,AR,1612306903,-54.8,-68.3,55.4,76,75,4.61
2,Saskylakh,RU,1612306904,71.9167,114.0833,-4.0,91,100,12.68
3,Usoke,TZ,1612306904,-5.1667,32.35,65.46,84,29,2.53
4,Hilo,US,1612306905,19.7297,-155.09,78.8,61,90,8.05
5,Bambous Virieux,MU,1612306905,-20.3428,57.7575,80.6,69,40,8.05
6,Sharjah city,AE,1612306905,25.3573,55.4033,64.4,82,0,3.44
7,Kapaa,US,1612306681,22.0752,-159.319,78.8,73,40,16.11
8,Shache,CN,1612306906,38.4167,77.2406,26.8,79,100,0.54
9,Shitanjing,CN,1612306906,39.2342,106.3439,21.0,72,0,13.91
10,Vaini,TO,1612306906,-21.2,-175.2,78.8,100,90,4.61
11,Heraclea,TR,1612306907,37.5133,34.0467,41.61,64,100,1.25
12,Hermanus,ZA,1612306907,-34.4187,19.2345,60.01,91,0,6.26
13,Bredasdorp,ZA,1612306907,-34.5322,20.0403,59.0,88,0,5.75
14,Mahébourg,MU,1612306907,-20.4081,57.7,80.6,69,40,8.05
15,San Cristobal,VE,1612306817,7.7669,-72.225,89.6,51,20,11.5
16,Cherskiy,RU,1612306908,68.75,161.3,-4.18,86,0,1.19
17,Bethel,US,1612306908,41.3712,-73.414,28.0,95,100,9.28
18,Sur,OM,1612306908,22.5667,59.5289,66.45,67,0,3.53
